Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of an energy sufficient diet [CoCA],Cost of a nutrient adequate diet [CoNA],Cost of a healthy diet [CoHD],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of fruits [CoHD_f],Cost of vegetables [CoHD_v],Cost of starchy staples [CoHD_ss],Cost of animal-source foods [CoHD_asf],"Cost of legumes, nuts and seeds [CoHD_lns]",Cost of oils and fats [CoHD_of],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],"Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Population [Pop]
Food Prices for Nutrition 1.0,FPN 1.0,Albania,ALB,2017,YR2017,0.725,2.471,3.952,5.45,0.911,0.707,0.599,1.204,0.441,0.089,0.231,0.179,0.152,0.305,0.112,0.023,1.52,1.18,2.01,0.74,0.15,0.732,2.496,3.992,0.078,0.266,0.425,0,13,37.8,0,0.4,1.1,2873457
Food Prices for Nutrition 1.0,FPN 1.0,Albania,ALB,2018,YR2018,..,..,4.051,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.092,..,..,..,..,..,27.9,..,..,0.8,2866376
Food Prices for Nutrition 1.0,FPN 1.0,Albania,ALB,2019,YR2019,..,..,4.117,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.159,..,..,..,..,..,19.8,..,..,0.6,2854191
Food Prices for Nutrition 1.0,FPN 1.0,Albania,ALB,2020,YR2020,..,..,4.197,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.239,..,..,..,..,..,20.1,..,..,0.6,2837743
Food Prices for Nutrition 1.0,FPN 1.0,Algeria,DZA,2017,YR2017,0.773,2.323,3.763,4.87,0.979,0.699,0.496,0.964,0.493,0.132,0.26,0.186,0.132,0.256,0.131,0.035,1.97,1.41,1.94,0.99,0.27,0.781,2.346,3.801,0.124,0.374,0.605,0.2,7.2,35.2,0.1,3,14.6,41389174
Food Prices for Nutrition 1.0,FPN 1.0,Algeria,DZA,2018,YR2018,..,..,3.822,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.861,..,..,..,..,..,33.9,..,..,14.3,42228415
Food Prices for Nutrition 1.0,FPN 1.0,Algeria,DZA,2019,YR2019,..,..,3.796,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.834,..,..,..,..,..,31.8,..,..,13.7,43053054
Food Prices for Nutrition 1.0,FPN 1.0,Algeria,DZA,2020,YR2020,..,..,3.76,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.798,..,..,..,..,..,30.2,..,..,13.2,43851043
Food Prices for Nutrition 1.0,FPN 1.0,Angola,AGO,2017,YR2017,1.403,3.231,4.327,3.08,0.717,1.199,0.839,1.011,0.395,0.166,0.166,0.277,0.194,0.234,0.091,0.038,0.85,1.43,1.21,0.47,0.2,1.417,3.264,4.371,0.315,0.726,0.972,57.2,87.1,92.9,17,26,27.7,29816769
Food Prices for Nutrition 1.0,FPN 1.0,Angola,AGO,2018,YR2018,..,..,4.293,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.336,..,..,..,..,..,93.4,..,..,28.8,30809787
Food Prices for Nutrition 1.0,FPN 1.0,Angola,AGO,2019,YR2019,..,..,4.352,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.396,..,..,..,..,..,93.9,..,..,29.9,31825299
Food Prices for Nutrition 1.0,FPN 1.0,Angola,AGO,2020,YR2020,..,..,4.534,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.58,..,..,..,..,..,94.3,..,..,31,32866268
