,Cost of an energy sufficient diet,Cost of a nutrient adequate diet,Cost of a healthy diet,Cost of a healthy diet relative to the cost of sufficient energy from starchy staples,Cost of fruits,Cost of vegetables,Cost of starchy staples,Cost of animal-source foods,"Cost of legumes, nuts and seeds",Cost of oils and fats,Cost share for fruits in a least-cost healthy diet,Cost share for vegetables in a least-cost healthy diet,Cost share for starchy staples in a least-cost healthy diet,Cost share for animal-sourced foods in a least-cost healthy diet,"Cost share for legumes, nuts and seeds in a least-cost healthy diet",Cost share for oils and fats in a least-cost healthy diet,Cost of fruits relative to the starchy staples in a least-cost healthy diet,Cost of vegetables relative to the starchy staples in a least-cost healthy diet,Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet,"Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet",Cost of oils and fats relative to the starchy staples in a least-cost healthy diet,Affordability of an energy sufficient diet: ratio of cost to the food poverty line,Affordability of a nutrient adequate diet: ratio of cost to the food poverty line,Affordability of a healthy diet: ratio of cost to the food poverty line,Affordability of an energy sufficient diet: ratio of cost to food expenditures,Affordability of a nutrient adequate diet: ratio of cost to food expenditures,Affordability of a healthy diet: ratio of cost to food expenditures,Percent of the population who cannot afford sufficient calories,Percent of the population who cannot afford nutrient adequacy,Percent of the population who cannot afford a healthy diet,Millions of people who cannot afford sufficient calories,Millions of people who cannot afford nutrient adequacy,Millions of people who cannot afford a healthy diet,Population,Classification Name,Classification Code,Country Name,Country Code,Time,Time Code
0,0.725,2.471,3.952,5.45,0.911,0.707,0.599,1.204,0.441,0.089,0.231,0.179,0.152,0.305,0.112,0.023,1.52,1.18,2.01,0.74,0.15,0.732,2.496,3.992,0.078,0.266,0.425,0.0,13.0,37.8,0.0,0.4,1.1,2873457.0,Food Prices for Nutrition 1.0,FPN 1.0,Albania,ALB,2017,YR2017
4,0.773,2.323,3.763,4.87,0.979,0.699,0.496,0.964,0.493,0.132,0.26,0.186,0.132,0.256,0.131,0.035,1.97,1.41,1.94,0.99,0.27,0.781,2.346,3.801,0.124,0.374,0.605,0.2,7.2,35.2,0.1,3.0,14.6,41389174.0,Food Prices for Nutrition 1.0,FPN 1.0,Algeria,DZA,2017,YR2017
8,1.403,3.231,4.327,3.08,0.717,1.199,0.839,1.011,0.395,0.166,0.166,0.277,0.194,0.234,0.091,0.038,0.85,1.43,1.21,0.47,0.2,1.417,3.264,4.371,0.315,0.726,0.972,57.2,87.1,92.9,17.0,26.0,27.7,29816769.0,Food Prices for Nutrition 1.0,FPN 1.0,Angola,AGO,2017,YR2017
12,1.308,2.433,3.717,2.84,0.811,1.019,0.778,0.647,0.328,0.134,0.218,0.274,0.209,0.174,0.088,0.036,1.04,1.31,0.83,0.42,0.17,1.321,2.458,3.755,0.203,0.378,0.577,0.0,0.0,0.0,381.2,2287.9,3125.1,29567.0,Food Prices for Nutrition 1.0,FPN 1.0,Anguilla,AIA,2017,YR2017
16,0.933,3.017,4.112,4.41,1.003,1.279,0.604,0.682,0.429,0.115,0.244,0.311,0.147,0.166,0.104,0.028,1.66,2.12,1.13,0.71,0.19,0.942,3.047,4.154,0.174,0.563,0.767,78.5,0.0,0.0,381.2,2287.9,3125.1,95425.0,Food Prices for Nutrition 1.0,FPN 1.0,Antigua and Barbuda,ATG,2017,YR2017
20,0.652,2.625,3.341,5.12,0.733,0.703,0.463,0.669,0.656,0.117,0.219,0.21,0.139,0.2,0.196,0.035,1.58,1.52,1.44,1.42,0.25,0.659,2.652,3.375,0.077,0.31,0.395,0.3,7.1,11.0,0.1,3.1,4.8,44044811.0,Food Prices for Nutrition 1.0,FPN 1.0,Argentina,ARG,2017,YR2017
24,1.013,2.208,3.096,3.06,0.488,0.433,0.537,0.973,0.541,0.123,0.158,0.14,0.173,0.314,0.175,0.04,0.91,0.81,1.81,1.01,0.23,1.023,2.23,3.127,0.088,0.192,0.27,0.6,16.8,40.9,0.0,0.5,1.2,2944789.0,Food Prices for Nutrition 1.0,FPN 1.0,Armenia,ARM,2017,YR2017
28,1.13,2.835,3.418,3.02,0.475,0.907,0.797,0.718,0.407,0.115,0.139,0.265,0.233,0.21,0.119,0.034,0.6,1.14,0.9,0.51,0.14,1.141,2.864,3.453,0.239,0.6,0.723,78.5,96.0,0.0,0.0,0.0,3125.1,105361.0,Food Prices for Nutrition 1.0,FPN 1.0,Aruba,ABW,2017,YR2017
32,0.307,1.595,2.259,7.36,0.667,0.597,0.221,0.458,0.249,0.067,0.295,0.264,0.098,0.203,0.11,0.03,3.02,2.7,2.07,1.13,0.3,0.31,1.611,2.282,0.045,0.235,0.333,0.2,0.5,0.7,0.1,0.1,0.2,24601860.0,Food Prices for Nutrition 1.0,FPN 1.0,Australia,AUS,2017,YR2017
36,0.346,2.256,2.772,8.01,0.819,0.698,0.229,0.612,0.36,0.055,0.295,0.252,0.083,0.221,0.13,0.02,3.58,3.05,2.67,1.57,0.24,0.349,2.279,2.8,0.049,0.318,0.39,0.2,0.5,0.6,0.0,0.0,0.1,8797566.0,Food Prices for Nutrition 1.0,FPN 1.0,Austria,AUT,2017,YR2017
