,id,frequency
0,Afghanistan,10658
1,Albania,10
2,Algeria,230
3,Angola,10
4,Argentina,17
5,Armenia,5
6,Australia,37
7,Austria,6
8,Azerbaijan,7
9,Bahamas,1
10,Bahrain,165
11,Bangladesh,920
12,Belarus,6
13,Belgium,12
14,Belize,1
15,Bhutan,2
16,Bolivia,1
17,Bosnia-Herzegovina,12
18,Brazil,16
19,Bulgaria,11
20,Burkina Faso,49
21,Burundi,254
22,Cambodia,2
23,Cameroon,310
24,Canada,35
25,Central African Republic,263
26,Chad,40
27,Chile,66
28,China,86
29,Colombia,1087
30,Croatia,2
31,Cyprus,20
32,Czech Republic,16
33,Democratic Republic of the Congo,646
34,Denmark,7
35,Djibouti,3
36,Dominican Republic,3
37,Ecuador,10
38,Egypt,1991
39,Eritrea,2
40,Estonia,3
41,Ethiopia,62
42,Finland,14
43,France,213
44,Gabon,4
45,Georgia,23
46,Germany,163
47,Ghana,2
48,Greece,267
49,Guatemala,7
50,Guinea,5
51,Guinea-Bissau,1
52,Guyana,1
53,Haiti,1
54,Honduras,6
55,Hungary,3
56,Iceland,2
57,India,6348
58,Indonesia,206
59,Iran,82
60,Iraq,19286
61,Ireland,157
62,Israel,600
63,Italy,63
64,Ivory Coast,49
65,Jamaica,3
66,Japan,17
67,Jordan,29
68,Kazakhstan,16
69,Kenya,562
70,Kosovo,34
71,Kuwait,4
72,Kyrgyzstan,13
73,Laos,8
74,Latvia,1
75,Lebanon,463
76,Lesotho,1
77,Liberia,3
78,Libya,2233
79,Macedonia,9
80,Madagascar,6
81,Malawi,1
82,Malaysia,55
83,Maldives,18
84,Mali,512
85,Malta,5
86,Mauritania,4
87,Mexico,80
88,Moldova,2
89,Montenegro,3
90,Morocco,2
91,Mozambique,139
92,Myanmar,289
93,Nepal,579
94,Netherlands,14
95,New Zealand,2
96,Nicaragua,2
97,Niger,94
98,Nigeria,3569
99,Norway,5
100,Pakistan,10571
101,Panama,1
102,Papua New Guinea,8
103,Paraguay,79
104,Peru,49
105,Philippines,3898
106,Poland,4
107,Portugal,2
108,Qatar,1
109,Republic of the Congo,16
110,Russia,891
111,Rwanda,25
112,Saudi Arabia,309
113,Senegal,24
114,Serbia,5
115,Sierra Leone,4
116,Slovak Republic,1
117,Somalia,3488
118,South Africa,98
119,South Korea,2
120,South Sudan,225
121,Spain,21
122,Sri Lanka,90
123,Sudan,746
124,Sweden,77
125,Switzerland,6
126,Syria,2052
127,Taiwan,5
128,Tajikistan,14
129,Tanzania,42
130,Thailand,2395
131,Trinidad and Tobago,5
132,Tunisia,91
133,Turkey,1540
134,Turkmenistan,1
135,Uganda,54
136,Ukraine,1674
137,United Arab Emirates,5
138,United Kingdom,740
139,United States,263
140,Uruguay,1
141,Uzbekistan,1
142,Venezuela,32
143,Vietnam,2
144,West Bank and Gaza Strip,737
145,Yemen,3145
146,Zambia,2
147,Zimbabwe,9
