,nation,frequency,id
0,Albania,1.1,ALB
1,Algeria,14.6,DZA
2,Angola,27.7,AGO
3,Anguilla,226.32,AIA
4,Antigua and Barbuda,226.32,ATG
5,Argentina,4.8,ARG
6,Armenia,1.2,ARM
7,Aruba,226.32,ABW
8,Australia,0.2,AUS
9,Austria,0.1,AUT
10,Azerbaijan,0.0,AZE
11,Bahamas,226.32,BHS
12,Bahrain,0.0,BHR
13,Bangladesh,123.7,BGD
14,Barbados,0.0,BRB
15,Belarus,0.1,BLR
16,Belgium,0.0,BEL
17,Belize,0.1,BLZ
18,Benin,10.1,BEN
19,Bermuda,226.32,BMU
20,Bhutan,0.4,BTN
21,Bolivia,3.4,BOL
22,Bonaire,0.0,BON
23,Bosnia and Herzegovina,0.2,BIH
24,Botswana,1.4,BWA
25,Brazil,38.1,BRA
26,British Virgin Islands,226.32,VGB
27,Brunei Darussalam,0.0,BRN
28,Bulgaria,0.8,BGR
29,Burkina Faso,16.3,BFA
30,Burundi,10.6,BDI
31,Cabo Verde,0.2,CPV
32,Cambodia,0.0,KHM
33,Cameroon,15.0,CMR
34,Canada,0.3,CAN
35,Cayman Islands,0.0,CYM
36,Central African Republic,4.4,CAF
37,Chad,12.8,TCD
38,Chile,0.6,CHL
39,China,199.3,CHN
40,Colombia,12.1,COL
41,Comoros,226.32,COM
42,DR Congo,78.5,COD
43,Congo,4.7,COG
44,Costa Rica,0.8,CRI
45,Côte d'Ivoire,18.7,CIV
46,Croatia,0.3,HRV
47,Curacao,226.32,CUW
48,Cyprus,0.0,CYP
49,Czech Republic,0.0,CZE
50,Denmark,0.0,DNK
51,Djibouti,0.6,DJI
52,Dominica,0.0,DMA
53,Dominican Republic,2.2,DOM
54,East Asia & Pacific,553.2,EAS
55,Ecuador,3.2,ECU
56,Egypt,73.5,EGY
57,El Salvador,226.32,SLV
58,Equatorial Guinea,226.32,GNQ
59,Estonia,0.0,EST
60,Eswatini,0.8,SWZ
61,Ethiopia,94.0,ETH
62,Europe & Central Asia,32.7,ECS
63,Fiji,0.5,FJI
64,Finland,0.0,FIN
65,France,0.0,FRA
66,Gabon,0.7,GAB
67,Gambia,1.5,GMB
68,Germany,0.2,DEU
69,Ghana,18.8,GHA
70,Greece,0.5,GRC
71,Grenada,0.0,GRD
72,Guinea,11.4,GIN
73,Guinea-Bissau,1.6,GNB
74,Guyana,0.4,GUY
75,Haiti,9.1,HTI
76,High income,17.4,HIC
77,Honduras,5.1,HND
78,Hong Kong,0.0,HKG
79,Hungary,0.3,HUN
80,Iceland,0.0,ISL
81,India,1002.5,IND
82,Indonesia,187.2,IDN
83,Iran,9.6,IRN
84,Iraq,20.0,IRQ
85,Ireland,0.0,IRL
86,Israel,0.2,ISR
87,Italy,1.7,ITA
88,Jamaica,1.9,JAM
89,Japan,3.2,JPN
90,Jordan,1.6,JOR
91,Kazakhstan,0.3,KAZ
92,Kenya,41.9,KEN
93,"Korea, Rep.",0.9,KOR
94,Kuwait,226.32,KWT
95,Kyrgyz Republic,3.5,KGZ
96,Lao PDR,5.6,LAO
97,Latin America & Caribbean,126.8,LCN
98,Latvia,0.1,LVA
99,Lesotho,1.7,LSO
100,Liberia,4.6,LBR
101,Lithuania,0.1,LTU
102,Low income,425.6,LIC
103,Lower middle income,2205.0,LMC
104,Luxembourg,0.0,LUX
105,Madagascar,24.8,MDG
106,Malawi,16.9,MWI
107,Malaysia,0.8,MYS
108,Maldives,0.0,MDV
109,Mali,14.8,MLI
110,Malta,0.0,MLT
111,Mauritania,2.7,MRT
